Orthogroup	Triticum_urartu	Triticum_turgidum
OG0000000	Triticum_urartu|LOC125539100	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125544536	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125545370	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125552425	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125552709	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125552708	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125515888	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125513706	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125515824	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125514131	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125523414	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125520851	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125520767	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125520808	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Triticum_urartu|LOC125519860	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125524799	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125526880	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125538216	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125539100	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125544536	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125545370	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125552425	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125552709	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125552708	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125515888	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125513706	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125515824	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125514131	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125523414	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125520851	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125520767	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125520808	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Triticum_urartu|LOC125519860	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125524799	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125526880	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125538216	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125539100	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125544536	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125545370	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125552425	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125552709	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125552708	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125515888	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125513706	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125515824	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125514131	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125523414	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125520851	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125520767	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125520808	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Triticum_urartu|LOC125519860	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125524799	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125526880	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125538216	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125539100	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125544536	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125545370	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125552425	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125552709	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125552708	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125515888	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125513706	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125515824	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125514131	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125523414	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125520851	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125520767	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125520808	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Triticum_urartu|LOC125520496	Triticum_turgidum|TRITD_7Bv1G005600
OG0000000	Triticum_urartu|LOC125520496	Triticum_turgidum|TRITD_7Bv1G005670
OG0000000	Triticum_urartu|LOC125528057	Triticum_turgidum|TRITD_7Av1G017300
OG0000000	Triticum_urartu|LOC125529203	Triticum_turgidum|TRITD_6Bv1G010970
OG0000000	Triticum_urartu|LOC125529203	Triticum_turgidum|TRITD_6Bv1G010990
OG0000000	Triticum_urartu|LOC125529205	Triticum_turgidum|TRITD_6Bv1G011010, Triticum_turgidum|TRITD_6Av1G007390
OG0000000	Triticum_urartu|LOC125525051	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Triticum_urartu|LOC125523488	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Triticum_urartu|LOC125521004	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Triticum_urartu|LOC125528042	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Triticum_urartu|LOC125525051	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Triticum_urartu|LOC125523488	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Triticum_urartu|LOC125521004	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Triticum_urartu|LOC125528042	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Triticum_urartu|LOC125525051	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Triticum_urartu|LOC125523488	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Triticum_urartu|LOC125521004	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Triticum_urartu|LOC125528042	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Triticum_urartu|LOC125525051	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Triticum_urartu|LOC125523488	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Triticum_urartu|LOC125521004	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Triticum_urartu|LOC125528042	Triticum_turgidum|TRITD_7Bv1G186020
OG0000001	Triticum_urartu|LOC125515679	Triticum_turgidum|TRITD_3Bv1G041790
OG0000001	Triticum_urartu|LOC125519301	Triticum_turgidum|TRITD_7Av1G227000
OG0000001	Triticum_urartu|LOC125525470, Triticum_urartu|LOC125534371, Triticum_urartu|LOC125554586, Triticum_urartu|LOC125519299, Triticum_urartu|LOC125554205	Triticum_turgidum|TRITD_6Bv1G198670
OG0000001	Triticum_urartu|LOC125510486	Triticum_turgidum|TRITD_5Av1G197800
OG0000001	Triticum_urartu|LOC125523814, Triticum_urartu|LOC125523578	Triticum_turgidum|TRITD_7Av1G046280
OG0000001	Triticum_urartu|LOC125521676	Triticum_turgidum|TRITD_7Bv1G098700, Triticum_turgidum|TRITD_2Bv1G200490
OG0000001	Triticum_urartu|LOC125534233	Triticum_turgidum|TRITD_7Bv1G090690, Triticum_turgidum|TRITD_2Bv1G244030
OG0000001	Triticum_urartu|LOC125524373	Triticum_turgidum|TRITD_2Bv1G053190
OG0000001	Triticum_urartu|LOC125535640	Triticum_turgidum|TRITD_7Av1G036300
OG0000001	Triticum_urartu|LOC125551985	Triticum_turgidum|TRITD_7Av1G242520
OG0000001	Triticum_urartu|LOC125532308	Triticum_turgidum|TRITD_2Av1G060730, Triticum_turgidum|TRITD_2Bv1G036850
OG0000001	Triticum_urartu|LOC125539774	Triticum_turgidum|TRITD_1Av1G061550, Triticum_turgidum|TRITD_2Av1G262000
OG0000001	Triticum_urartu|LOC125524744, Triticum_urartu|LOC125510421	Triticum_turgidum|TRITD_7Av1G181320
OG0000001	Triticum_urartu|LOC125554538	Triticum_turgidum|TRITD_7Av1G060760
OG0000001	Triticum_urartu|LOC125516457, Triticum_urartu|LOC125541383, Triticum_urartu|LOC125541387, Triticum_urartu|LOC125541384	Triticum_turgidum|TRITD_6Bv1G103160
OG0000002	Triticum_urartu|LOC125533141, Triticum_urartu|LOC125518500, Triticum_urartu|LOC125534604, Triticum_urartu|LOC125522634, Triticum_urartu|LOC125516994, Triticum_urartu|LOC125516899, Triticum_urartu|LOC125538510, Triticum_urartu|LOC125519066, Triticum_urartu|LOC125546516, Triticum_urartu|LOC125519280, Triticum_urartu|LOC125547267, Triticum_urartu|LOC125535756, Triticum_urartu|LOC125535754, Triticum_urartu|LOC125529421, Triticum_urartu|LOC125516627, Triticum_urartu|LOC125516624, Triticum_urartu|LOC125533142	Triticum_turgidum|TRITD_7Av1G241690
OG0000002	Triticum_urartu|LOC125531589, Triticum_urartu|LOC125519566	Triticum_turgidum|TRITD_7Bv1G202220
OG0000002	Triticum_urartu|LOC125546567, Triticum_urartu|LOC125554774, Triticum_urartu|LOC125547220, Triticum_urartu|LOC125547909, Triticum_urartu|LOC125516726, Triticum_urartu|LOC125546544, Triticum_urartu|LOC125519442, Triticum_urartu|LOC125517046	Triticum_turgidum|TRITD_1Bv1G106840, Triticum_turgidum|TRITD_1Bv1G175650
OG0000003	Triticum_urartu|LOC125543766	Triticum_turgidum|TRITD_6Bv1G008140
OG0000003	Triticum_urartu|LOC125520607, Triticum_urartu|LOC125520782, Triticum_urartu|LOC125507817	Triticum_turgidum|TRITD_5Av1G111950
OG0000004	Triticum_urartu|LOC125506660	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125512401	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125521176	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125521182	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125521199	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125521345	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125521338	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125537869	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125539161	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125539253	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125534123	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125548774	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125552334	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125556106	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125510060	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125510330	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125510331	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125510335	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125510363	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125506402	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125516045	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125515869	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125516061	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Triticum_urartu|LOC125506660	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125512401	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125521176	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125521182	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125521199	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125521345	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125521338	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125537869	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125539161	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125539253	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125534123	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125548774	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125552334	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125556106	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125510060	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125510330	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125510331	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125510335	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125510363	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125506402	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125516045	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125515869	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125516061	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Triticum_urartu|LOC125506660	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125512401	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125521176	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125521182	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125521199	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125521345	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125521338	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125537869	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125539161	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125539253	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125534123	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125548774	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125552334	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125556106	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125510060	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125510330	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125510331	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125510335	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125510363	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125506402	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125516045	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125515869	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Triticum_urartu|LOC125516061	Triticum_turgidum|TRITD_1Av1G204420
