Orthogroup	Triticum_urartu	Aegilops_tauschii
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109787168
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109732745
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109732746
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109765742
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109765743
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109781574
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109750404
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109784957
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109741504
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109760481
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109744817
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109769263
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109767055
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109761752
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109761751
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109761753
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125545370	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125552425	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125552709	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125552708	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125515888	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125513706	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125515824	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125514131	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125523414	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125520851	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125520767	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125520808	Aegilops_tauschii|LOC109752985
OG0000000	Triticum_urartu|LOC125519860	Aegilops_tauschii|LOC109754409
OG0000000	Triticum_urartu|LOC125524799	Aegilops_tauschii|LOC109754409
OG0000000	Triticum_urartu|LOC125526880	Aegilops_tauschii|LOC109754409
OG0000000	Triticum_urartu|LOC125538216	Aegilops_tauschii|LOC109754409
OG0000000	Triticum_urartu|LOC125539100	Aegilops_tauschii|LOC109754409
OG0000000	Triticum_urartu|LOC125544536	Aegilops_tauschii|LOC109754409
