Orthogroup	Triticum_urartu	Triticum_aestivum
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125523414	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125520851	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125520767	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125520808	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Triticum_urartu|LOC125519860	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125524799	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125526880	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125538216	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125539100	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125544536	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125545370	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125552425	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125552709	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125552708	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125515888	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125513706	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125515824	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Triticum_urartu|LOC125514131	Triticum_aestivum|TraesCS1D03G0632100
