Orthogroup	Triticum_urartu	Hordeum_vulgare
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125523414	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125520851	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125520767	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125520808	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_urartu|LOC125519860	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125524799	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125526880	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125538216	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125539100	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125544536	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125545370	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125552425	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125552709	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125552708	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125515888	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125513706	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125515824	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_urartu|LOC125514131	Hordeum_vulgare|LOC123407579
