Orthogroup	Hordeum_vulgare	Triticum_urartu
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123440480	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123426702	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123427282	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123444127	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123449322	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123449497	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125514131
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125523414
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125520851
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125520767
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_urartu|LOC125520808
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125519860
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125524799
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125526880
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125538216
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125539100
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125544536
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125545370
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125552425
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125552709
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125552708
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125515888
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125513706
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125515824
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_urartu|LOC125514131
