Orthogroup	Hordeum_vulgare	Triticum_turgidum
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123401492	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123402877	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123407880	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123407879	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123407840	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123410467	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123410874	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123407026	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123407571	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123411529	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123411359	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123407579	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123413522	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Hordeum_vulgare|LOC123413522	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Hordeum_vulgare|LOC123413522	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Hordeum_vulgare|LOC123413522	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Hordeum_vulgare|LOC123413522	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Hordeum_vulgare|LOC123413522	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Hordeum_vulgare|LOC123413522	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Hordeum_vulgare|LOC123413522	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Hordeum_vulgare|LOC123413522	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Hordeum_vulgare|LOC123407027	Triticum_turgidum|TRITD_7Bv1G005600
OG0000000	Hordeum_vulgare|LOC123407027	Triticum_turgidum|TRITD_7Bv1G005670
OG0000000	Hordeum_vulgare|LOC123407601	Triticum_turgidum|TRITD_7Bv1G005600
OG0000000	Hordeum_vulgare|LOC123407601	Triticum_turgidum|TRITD_7Bv1G005670
OG0000000	Hordeum_vulgare|LOC123406049	Triticum_turgidum|TRITD_6Bv1G010970
OG0000000	Hordeum_vulgare|LOC123406049	Triticum_turgidum|TRITD_6Bv1G010990
OG0000000	Hordeum_vulgare|LOC123426873	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Hordeum_vulgare|LOC123426873	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Hordeum_vulgare|LOC123426873	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Hordeum_vulgare|LOC123426873	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Hordeum_vulgare|LOC123426872	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Hordeum_vulgare|LOC123426872	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Hordeum_vulgare|LOC123426872	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Hordeum_vulgare|LOC123426872	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Hordeum_vulgare|LOC123413076	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Hordeum_vulgare|LOC123413076	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Hordeum_vulgare|LOC123413076	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Hordeum_vulgare|LOC123413076	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Hordeum_vulgare|LOC123413075	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Hordeum_vulgare|LOC123413075	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Hordeum_vulgare|LOC123413075	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Hordeum_vulgare|LOC123413075	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Hordeum_vulgare|LOC123409950	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Hordeum_vulgare|LOC123409950	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Hordeum_vulgare|LOC123409950	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Hordeum_vulgare|LOC123409950	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Hordeum_vulgare|LOC123410250	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Hordeum_vulgare|LOC123410250	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Hordeum_vulgare|LOC123410250	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Hordeum_vulgare|LOC123410250	Triticum_turgidum|TRITD_7Bv1G186020
OG0000001	Hordeum_vulgare|LOC123428609	Triticum_turgidum|TRITD_7Av1G227000, Triticum_turgidum|TRITD_6Bv1G198670
OG0000001	Hordeum_vulgare|LOC123408261	Triticum_turgidum|TRITD_2Bv1G053190
OG0000001	Hordeum_vulgare|LOC123395773	Triticum_turgidum|TRITD_7Av1G036300, Triticum_turgidum|TRITD_7Av1G242520, Triticum_turgidum|TRITD_2Av1G060730, Triticum_turgidum|TRITD_2Bv1G036850, Triticum_turgidum|TRITD_2Bv1G042260, Triticum_turgidum|TRITD_4Av1G236560, Triticum_turgidum|TRITD_6Bv1G166680, Triticum_turgidum|TRITD_6Bv1G166640, Triticum_turgidum|TRITD_6Bv1G166670, Triticum_turgidum|TRITD_3Bv1G146980, Triticum_turgidum|TRITD_1Av1G061550, Triticum_turgidum|TRITD_2Av1G262000, Triticum_turgidum|TRITD_6Bv1G218160, Triticum_turgidum|TRITD_6Bv1G128680
OG0000001	Hordeum_vulgare|LOC123425701, Hordeum_vulgare|LOC123412209, Hordeum_vulgare|LOC123446953, Hordeum_vulgare|LOC123425179, Hordeum_vulgare|LOC123450710, Hordeum_vulgare|LOC123446831, Hordeum_vulgare|LOC123439494, Hordeum_vulgare|LOC123396045, Hordeum_vulgare|LOC123447091	Triticum_turgidum|TRITD_3Av1G273850, Triticum_turgidum|TRITD_7Av1G060760, Triticum_turgidum|TRITD_7Bv1G230740, Triticum_turgidum|TRITD_7Av1G260340, Triticum_turgidum|TRITD_6Bv1G103160
OG0000001	Hordeum_vulgare|LOC123411765	Triticum_turgidum|TRITD_7Bv1G090700
OG0000001	Hordeum_vulgare|LOC123398413, Hordeum_vulgare|LOC123442592	Triticum_turgidum|TRITD_1Bv1G023410
OG0000002	Hordeum_vulgare|LOC123408730, Hordeum_vulgare|LOC123439263, Hordeum_vulgare|LOC123430650, Hordeum_vulgare|LOC123446610, Hordeum_vulgare|LOC123397037, Hordeum_vulgare|LOC123404695, Hordeum_vulgare|LOC123397969, Hordeum_vulgare|LOC123430082, Hordeum_vulgare|LOC123439815, Hordeum_vulgare|LOC123439652	Triticum_turgidum|TRITD_5Av1G151040, Triticum_turgidum|TRITD_1Bv1G106840, Triticum_turgidum|TRITD_1Bv1G175650, Triticum_turgidum|TRITD_5Bv1G139040, Triticum_turgidum|TRITD_3Bv1G013550, Triticum_turgidum|TRITD_6Bv1G058460, Triticum_turgidum|TRITD_3Bv1G265620, Triticum_turgidum|TRITD_4Av1G218030, Triticum_turgidum|TRITD_4Av1G182150
OG0000003	Hordeum_vulgare|LOC123411936	Triticum_turgidum|TRITD_6Bv1G008140
OG0000003	Hordeum_vulgare|LOC123426713	Triticum_turgidum|TRITD_6Bv1G044580
OG0000003	Hordeum_vulgare|LOC123394940	Triticum_turgidum|TRITD_5Av1G111950
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_1Av1G205310
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_1Bv1G128650
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_1Bv1G167400
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_1Bv1G196800
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_1Bv1G196830
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_1Bv1G197020
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_3Av1G213240
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_3Bv1G063340
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_3Bv1G195740
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_4Av1G033330
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_5Av1G173160
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_5Av1G190180
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_5Bv1G182360
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_6Av1G013040
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_6Av1G014150
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_6Av1G014670
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_6Av1G014700
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_6Av1G019330
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_6Bv1G019540
OG0000004	Hordeum_vulgare|LOC123424203	Triticum_turgidum|TRITD_6Bv1G019690
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_1Av1G205310
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_1Bv1G128650
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_1Bv1G167400
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_1Bv1G196800
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_1Bv1G196830
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_1Bv1G197020
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_3Av1G213240
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_3Bv1G063340
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_3Bv1G195740
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_4Av1G033330
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_5Av1G173160
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_5Av1G190180
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_5Bv1G182360
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_6Av1G013040
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_6Av1G014150
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_6Av1G014670
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_6Av1G014700
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_6Av1G019330
OG0000004	Hordeum_vulgare|LOC123437379	Triticum_turgidum|TRITD_6Bv1G019540
