Orthogroup	Hordeum_vulgare	Aegilops_speltoides
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR003547.1
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR003555.1
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR007408.1
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR011978.1
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR014261.1
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR018696.1
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR021906.1
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR031371.1
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR031383.1
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR031381.1
OG0000000	Hordeum_vulgare|LOC123440459	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123440480	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123426702	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123427282	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123444127	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123449322	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123449497	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123401492	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123402877	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123407880	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123407879	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123407840	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123410467	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123410874	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123407026	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123407571	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123411529	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123411359	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123407579	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123413522	Aegilops_speltoides|GWHGBFXR031386.1
OG0000000	Hordeum_vulgare|LOC123407027	Aegilops_speltoides|GWHGBFXR031388.1
OG0000000	Hordeum_vulgare|LOC123407601	Aegilops_speltoides|GWHGBFXR031388.1
OG0000000	Hordeum_vulgare|LOC123406049	Aegilops_speltoides|GWHGBFXR026048.1
OG0000000	Hordeum_vulgare|LOC123406049	Aegilops_speltoides|GWHGBFXR026047.1
OG0000000	Hordeum_vulgare|LOC123426873	Aegilops_speltoides|GWHGBFXR007608.1
OG0000000	Hordeum_vulgare|LOC123426872	Aegilops_speltoides|GWHGBFXR007608.1
OG0000000	Hordeum_vulgare|LOC123413076	Aegilops_speltoides|GWHGBFXR007608.1
OG0000000	Hordeum_vulgare|LOC123413075	Aegilops_speltoides|GWHGBFXR007608.1
OG0000000	Hordeum_vulgare|LOC123409950	Aegilops_speltoides|GWHGBFXR007608.1
OG0000000	Hordeum_vulgare|LOC123410250	Aegilops_speltoides|GWHGBFXR007608.1
OG0000000	Hordeum_vulgare|LOC123426873	Aegilops_speltoides|GWHGBFXR030786.1
OG0000000	Hordeum_vulgare|LOC123426872	Aegilops_speltoides|GWHGBFXR030786.1
OG0000000	Hordeum_vulgare|LOC123413076	Aegilops_speltoides|GWHGBFXR030786.1
OG0000000	Hordeum_vulgare|LOC123413075	Aegilops_speltoides|GWHGBFXR030786.1
OG0000000	Hordeum_vulgare|LOC123409950	Aegilops_speltoides|GWHGBFXR030786.1
OG0000000	Hordeum_vulgare|LOC123410250	Aegilops_speltoides|GWHGBFXR030786.1
OG0000000	Hordeum_vulgare|LOC123426873	Aegilops_speltoides|GWHGBFXR034708.1
OG0000000	Hordeum_vulgare|LOC123426872	Aegilops_speltoides|GWHGBFXR034708.1
OG0000000	Hordeum_vulgare|LOC123413076	Aegilops_speltoides|GWHGBFXR034708.1
OG0000000	Hordeum_vulgare|LOC123413075	Aegilops_speltoides|GWHGBFXR034708.1
OG0000000	Hordeum_vulgare|LOC123409950	Aegilops_speltoides|GWHGBFXR034708.1
OG0000000	Hordeum_vulgare|LOC123410250	Aegilops_speltoides|GWHGBFXR034708.1
OG0000000	Hordeum_vulgare|LOC123426873	Aegilops_speltoides|GWHGBFXR031836.1
OG0000000	Hordeum_vulgare|LOC123426872	Aegilops_speltoides|GWHGBFXR031836.1
OG0000000	Hordeum_vulgare|LOC123413076	Aegilops_speltoides|GWHGBFXR031836.1
OG0000000	Hordeum_vulgare|LOC123413075	Aegilops_speltoides|GWHGBFXR031836.1
OG0000000	Hordeum_vulgare|LOC123409950	Aegilops_speltoides|GWHGBFXR031836.1
OG0000000	Hordeum_vulgare|LOC123410250	Aegilops_speltoides|GWHGBFXR031836.1
OG0000000	Hordeum_vulgare|LOC123426873	Aegilops_speltoides|GWHGBFXR030780.1
OG0000000	Hordeum_vulgare|LOC123426872	Aegilops_speltoides|GWHGBFXR030780.1
OG0000000	Hordeum_vulgare|LOC123413076	Aegilops_speltoides|GWHGBFXR030780.1
OG0000000	Hordeum_vulgare|LOC123413075	Aegilops_speltoides|GWHGBFXR030780.1
OG0000000	Hordeum_vulgare|LOC123409950	Aegilops_speltoides|GWHGBFXR030780.1
OG0000000	Hordeum_vulgare|LOC123410250	Aegilops_speltoides|GWHGBFXR030780.1
OG0000001	Hordeum_vulgare|LOC123428609	Aegilops_speltoides|GWHGBFXR027283.1
OG0000001	Hordeum_vulgare|LOC123428700, Hordeum_vulgare|LOC123404857	Aegilops_speltoides|GWHGBFXR034283.1
OG0000001	Hordeum_vulgare|LOC123408261	Aegilops_speltoides|GWHGBFXR035157.1
OG0000001	Hordeum_vulgare|LOC123395773	Aegilops_speltoides|GWHGBFXR012018.1, Aegilops_speltoides|GWHGBFXR002420.1, Aegilops_speltoides|GWHGBFXR035797.1, Aegilops_speltoides|GWHGBFXR015420.1
OG0000001	Hordeum_vulgare|LOC123425701, Hordeum_vulgare|LOC123412209, Hordeum_vulgare|LOC123446953, Hordeum_vulgare|LOC123425179, Hordeum_vulgare|LOC123450710, Hordeum_vulgare|LOC123446831, Hordeum_vulgare|LOC123439494, Hordeum_vulgare|LOC123396045, Hordeum_vulgare|LOC123447091	Aegilops_speltoides|GWHGBFXR030992.1, Aegilops_speltoides|GWHGBFXR030338.1, Aegilops_speltoides|GWHGBFXR010079.1, Aegilops_speltoides|GWHGBFXR022034.1, Aegilops_speltoides|GWHGBFXR000274.1, Aegilops_speltoides|GWHGBFXR033078.1
OG0000001	Hordeum_vulgare|LOC123411765, Hordeum_vulgare|LOC123398413, Hordeum_vulgare|LOC123442592	Aegilops_speltoides|GWHGBFXR027309.1
