Orthogroup	Aegilops_speltoides	Hordeum_vulgare
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_speltoides|GWHGBFXR031388.1	Hordeum_vulgare|LOC123407027
OG0000000	Aegilops_speltoides|GWHGBFXR031388.1	Hordeum_vulgare|LOC123407601
OG0000000	Aegilops_speltoides|GWHGBFXR026048.1	Hordeum_vulgare|LOC123406049
OG0000000	Aegilops_speltoides|GWHGBFXR026047.1	Hordeum_vulgare|LOC123406049
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Hordeum_vulgare|LOC123426873
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Hordeum_vulgare|LOC123426872
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Hordeum_vulgare|LOC123413076
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Hordeum_vulgare|LOC123413075
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Hordeum_vulgare|LOC123409950
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Hordeum_vulgare|LOC123410250
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Hordeum_vulgare|LOC123426873
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Hordeum_vulgare|LOC123426872
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Hordeum_vulgare|LOC123413076
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Hordeum_vulgare|LOC123413075
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Hordeum_vulgare|LOC123409950
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Hordeum_vulgare|LOC123410250
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Hordeum_vulgare|LOC123426873
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Hordeum_vulgare|LOC123426872
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Hordeum_vulgare|LOC123413076
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Hordeum_vulgare|LOC123413075
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Hordeum_vulgare|LOC123409950
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Hordeum_vulgare|LOC123410250
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Hordeum_vulgare|LOC123426873
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Hordeum_vulgare|LOC123426872
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Hordeum_vulgare|LOC123413076
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Hordeum_vulgare|LOC123413075
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Hordeum_vulgare|LOC123409950
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Hordeum_vulgare|LOC123410250
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Hordeum_vulgare|LOC123426873
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Hordeum_vulgare|LOC123426872
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Hordeum_vulgare|LOC123413076
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Hordeum_vulgare|LOC123413075
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Hordeum_vulgare|LOC123409950
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Hordeum_vulgare|LOC123410250
OG0000001	Aegilops_speltoides|GWHGBFXR027283.1	Hordeum_vulgare|LOC123428609
OG0000001	Aegilops_speltoides|GWHGBFXR034283.1	Hordeum_vulgare|LOC123428700, Hordeum_vulgare|LOC123404857
OG0000001	Aegilops_speltoides|GWHGBFXR035157.1	Hordeum_vulgare|LOC123408261
OG0000001	Aegilops_speltoides|GWHGBFXR012018.1, Aegilops_speltoides|GWHGBFXR002420.1, Aegilops_speltoides|GWHGBFXR035797.1, Aegilops_speltoides|GWHGBFXR015420.1	Hordeum_vulgare|LOC123395773
OG0000001	Aegilops_speltoides|GWHGBFXR030992.1, Aegilops_speltoides|GWHGBFXR030338.1, Aegilops_speltoides|GWHGBFXR010079.1, Aegilops_speltoides|GWHGBFXR022034.1, Aegilops_speltoides|GWHGBFXR000274.1, Aegilops_speltoides|GWHGBFXR033078.1	Hordeum_vulgare|LOC123425701, Hordeum_vulgare|LOC123412209, Hordeum_vulgare|LOC123446953, Hordeum_vulgare|LOC123425179, Hordeum_vulgare|LOC123450710, Hordeum_vulgare|LOC123446831, Hordeum_vulgare|LOC123439494, Hordeum_vulgare|LOC123396045, Hordeum_vulgare|LOC123447091
OG0000001	Aegilops_speltoides|GWHGBFXR027309.1	Hordeum_vulgare|LOC123411765, Hordeum_vulgare|LOC123398413, Hordeum_vulgare|LOC123442592
