Orthogroup	Aegilops_speltoides	Triticum_aestivum
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_speltoides|GWHGBFXR003555.1	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_speltoides|GWHGBFXR007408.1	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_aestivum|TraesCS1B03G1031100
