Orthogroup	Aegilops_speltoides	Triticum_urartu
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125545370
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125545370
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125545370
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125545370
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125545370
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125519860
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125524799
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125526880
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125538216
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125539100
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125544536
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125545370
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125552425
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125552709
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125552708
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125515888
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125513706
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125515824
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125514131
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125523414
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125520851
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125520767
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_urartu|LOC125520808
OG0000000	Aegilops_speltoides|GWHGBFXR031388.1	Triticum_urartu|LOC125520496
OG0000000	Aegilops_speltoides|GWHGBFXR026048.1	Triticum_urartu|LOC125529203
OG0000000	Aegilops_speltoides|GWHGBFXR026047.1	Triticum_urartu|LOC125529203
OG0000000	Aegilops_speltoides|GWHGBFXR026050.1	Triticum_urartu|LOC125529205
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Triticum_urartu|LOC125525051
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Triticum_urartu|LOC125523488
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Triticum_urartu|LOC125521004
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Triticum_urartu|LOC125528042
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Triticum_urartu|LOC125525051
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Triticum_urartu|LOC125523488
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Triticum_urartu|LOC125521004
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Triticum_urartu|LOC125528042
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Triticum_urartu|LOC125525051
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Triticum_urartu|LOC125523488
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Triticum_urartu|LOC125521004
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Triticum_urartu|LOC125528042
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Triticum_urartu|LOC125525051
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Triticum_urartu|LOC125523488
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Triticum_urartu|LOC125521004
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Triticum_urartu|LOC125528042
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Triticum_urartu|LOC125525051
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Triticum_urartu|LOC125523488
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Triticum_urartu|LOC125521004
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Triticum_urartu|LOC125528042
OG0000001	Aegilops_speltoides|GWHGBFXR034902.1	Triticum_urartu|LOC125515679
OG0000001	Aegilops_speltoides|GWHGBFXR027283.1	Triticum_urartu|LOC125546580, Triticum_urartu|LOC125519301, Triticum_urartu|LOC125525470, Triticum_urartu|LOC125534371, Triticum_urartu|LOC125554586, Triticum_urartu|LOC125519299, Triticum_urartu|LOC125554205, Triticum_urartu|LOC125508259
OG0000001	Aegilops_speltoides|GWHGBFXR034283.1	Triticum_urartu|LOC125522214, Triticum_urartu|LOC125525192
OG0000001	Aegilops_speltoides|GWHGBFXR010804.1, Aegilops_speltoides|GWHGBFXR010803.1, Aegilops_speltoides|GWHGBFXR035201.1	Triticum_urartu|LOC125510486
OG0000001	Aegilops_speltoides|GWHGBFXR011152.1	Triticum_urartu|LOC125521676
OG0000001	Aegilops_speltoides|GWHGBFXR030548.1	Triticum_urartu|LOC125534233
OG0000001	Aegilops_speltoides|GWHGBFXR022555.1	Triticum_urartu|LOC125524127
OG0000001	Aegilops_speltoides|GWHGBFXR035157.1	Triticum_urartu|LOC125524373
OG0000001	Aegilops_speltoides|GWHGBFXR012018.1	Triticum_urartu|LOC125535640
OG0000001	Aegilops_speltoides|GWHGBFXR002420.1	Triticum_urartu|LOC125532308
OG0000001	Aegilops_speltoides|GWHGBFXR030992.1	Triticum_urartu|LOC125548498
OG0000001	Aegilops_speltoides|GWHGBFXR030338.1	Triticum_urartu|LOC125554538
OG0000001	Aegilops_speltoides|GWHGBFXR000274.1, Aegilops_speltoides|GWHGBFXR033078.1	Triticum_urartu|LOC125516457, Triticum_urartu|LOC125541383, Triticum_urartu|LOC125541387, Triticum_urartu|LOC125541384
OG0000002	Aegilops_speltoides|GWHGBFXR029861.1	Triticum_urartu|LOC125533141, Triticum_urartu|LOC125518500, Triticum_urartu|LOC125534604, Triticum_urartu|LOC125522634, Triticum_urartu|LOC125516994, Triticum_urartu|LOC125516899, Triticum_urartu|LOC125538510, Triticum_urartu|LOC125519066, Triticum_urartu|LOC125546516, Triticum_urartu|LOC125519280, Triticum_urartu|LOC125547267, Triticum_urartu|LOC125535756, Triticum_urartu|LOC125535754, Triticum_urartu|LOC125529421, Triticum_urartu|LOC125516627, Triticum_urartu|LOC125516624, Triticum_urartu|LOC125533142, Triticum_urartu|LOC125517136, Triticum_urartu|LOC125554525, Triticum_urartu|LOC125546870, Triticum_urartu|LOC125516625, Triticum_urartu|LOC125516628, Triticum_urartu|LOC125546645, Triticum_urartu|LOC125548188, Triticum_urartu|LOC125536768, Triticum_urartu|LOC125529423, Triticum_urartu|LOC125536774, Triticum_urartu|LOC125529635, Triticum_urartu|LOC125533226, Triticum_urartu|LOC125554552, Triticum_urartu|LOC125524688
OG0000002	Aegilops_speltoides|GWHGBFXR027593.1, Aegilops_speltoides|GWHGBFXR035318.1, Aegilops_speltoides|GWHGBFXR006314.1	Triticum_urartu|LOC125531589, Triticum_urartu|LOC125519566
OG0000002	Aegilops_speltoides|GWHGBFXR002602.1, Aegilops_speltoides|GWHGBFXR036997.1, Aegilops_speltoides|GWHGBFXR000616.1, Aegilops_speltoides|GWHGBFXR027792.1	Triticum_urartu|LOC125546567, Triticum_urartu|LOC125554774, Triticum_urartu|LOC125547220, Triticum_urartu|LOC125547909, Triticum_urartu|LOC125516726, Triticum_urartu|LOC125546544, Triticum_urartu|LOC125519442, Triticum_urartu|LOC125517046
OG0000003	Aegilops_speltoides|GWHGBFXR009905.1, Aegilops_speltoides|GWHGBFXR033083.1, Aegilops_speltoides|GWHGBFXR033278.1, Aegilops_speltoides|GWHGBFXR033270.1, Aegilops_speltoides|GWHGBFXR033084.1, Aegilops_speltoides|GWHGBFXR033074.1, Aegilops_speltoides|GWHGBFXR018182.1, Aegilops_speltoides|GWHGBFXR023429.1	Triticum_urartu|LOC125543766
OG0000003	Aegilops_speltoides|GWHGBFXR021130.1	Triticum_urartu|LOC125524272, Triticum_urartu|LOC125524277, Triticum_urartu|LOC125552478, Triticum_urartu|LOC125507268, Triticum_urartu|LOC125556244
OG0000003	Aegilops_speltoides|GWHGBFXR027222.1, Aegilops_speltoides|GWHGBFXR015494.1, Aegilops_speltoides|GWHGBFXR005473.1, Aegilops_speltoides|GWHGBFXR032388.1	Triticum_urartu|LOC125527516
OG0000003	Aegilops_speltoides|GWHGBFXR008366.1, Aegilops_speltoides|GWHGBFXR032073.1, Aegilops_speltoides|GWHGBFXR015039.1	Triticum_urartu|LOC125545433, Triticum_urartu|LOC125518281
OG0000003	Aegilops_speltoides|GWHGBFXR015219.1	Triticum_urartu|LOC125520607
OG0000003	Aegilops_speltoides|GWHGBFXR015617.1	Triticum_urartu|LOC125520782
OG0000003	Aegilops_speltoides|GWHGBFXR006928.1, Aegilops_speltoides|GWHGBFXR012614.1, Aegilops_speltoides|GWHGBFXR035234.1, Aegilops_speltoides|GWHGBFXR007676.1	Triticum_urartu|LOC125553288, Triticum_urartu|LOC125549342, Triticum_urartu|LOC125532729
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_urartu|LOC125506660
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_urartu|LOC125512401
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_urartu|LOC125521176
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_urartu|LOC125521182
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_urartu|LOC125521199
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_urartu|LOC125521345
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_urartu|LOC125521338
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_urartu|LOC125537869
