Orthogroup	Aegilops_speltoides	Triticum_turgidum
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_speltoides|GWHGBFXR011978.1	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_speltoides|GWHGBFXR014261.1	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_speltoides|GWHGBFXR018696.1	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_speltoides|GWHGBFXR021906.1	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_speltoides|GWHGBFXR031371.1	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_speltoides|GWHGBFXR031383.1	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_speltoides|GWHGBFXR031381.1	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_speltoides|GWHGBFXR031386.1	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_speltoides|GWHGBFXR031388.1	Triticum_turgidum|TRITD_7Bv1G005600
OG0000000	Aegilops_speltoides|GWHGBFXR031388.1	Triticum_turgidum|TRITD_7Bv1G005670
OG0000000	Aegilops_speltoides|GWHGBFXR031174.1	Triticum_turgidum|TRITD_1Bv1G138620
OG0000000	Aegilops_speltoides|GWHGBFXR018958.1	Triticum_turgidum|TRITD_7Bv1G005500
OG0000000	Aegilops_speltoides|GWHGBFXR026048.1	Triticum_turgidum|TRITD_6Bv1G010970
OG0000000	Aegilops_speltoides|GWHGBFXR026048.1	Triticum_turgidum|TRITD_6Bv1G010990
OG0000000	Aegilops_speltoides|GWHGBFXR026047.1	Triticum_turgidum|TRITD_6Bv1G010970
OG0000000	Aegilops_speltoides|GWHGBFXR026047.1	Triticum_turgidum|TRITD_6Bv1G010990
OG0000000	Aegilops_speltoides|GWHGBFXR026050.1	Triticum_turgidum|TRITD_6Bv1G011010, Triticum_turgidum|TRITD_6Av1G007390
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Aegilops_speltoides|GWHGBFXR007608.1	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Aegilops_speltoides|GWHGBFXR030786.1	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Aegilops_speltoides|GWHGBFXR034708.1	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Aegilops_speltoides|GWHGBFXR031836.1	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Aegilops_speltoides|GWHGBFXR030780.1	Triticum_turgidum|TRITD_7Bv1G186020
OG0000001	Aegilops_speltoides|GWHGBFXR003257.1	Triticum_turgidum|TRITD_3Bv1G041800
OG0000001	Aegilops_speltoides|GWHGBFXR034902.1	Triticum_turgidum|TRITD_3Bv1G041790
OG0000001	Aegilops_speltoides|GWHGBFXR027283.1	Triticum_turgidum|TRITD_7Av1G227000, Triticum_turgidum|TRITD_6Bv1G198670
OG0000001	Aegilops_speltoides|GWHGBFXR010804.1, Aegilops_speltoides|GWHGBFXR010803.1, Aegilops_speltoides|GWHGBFXR035201.1	Triticum_turgidum|TRITD_5Av1G197800
OG0000001	Aegilops_speltoides|GWHGBFXR011152.1	Triticum_turgidum|TRITD_7Bv1G098700, Triticum_turgidum|TRITD_2Bv1G200490
OG0000001	Aegilops_speltoides|GWHGBFXR030548.1	Triticum_turgidum|TRITD_7Bv1G090690, Triticum_turgidum|TRITD_2Bv1G244030
OG0000001	Aegilops_speltoides|GWHGBFXR008195.1, Aegilops_speltoides|GWHGBFXR035157.1	Triticum_turgidum|TRITD_2Bv1G053190
OG0000001	Aegilops_speltoides|GWHGBFXR012018.1	Triticum_turgidum|TRITD_7Av1G036300
OG0000001	Aegilops_speltoides|GWHGBFXR002420.1	Triticum_turgidum|TRITD_2Av1G060730, Triticum_turgidum|TRITD_2Bv1G036850
OG0000001	Aegilops_speltoides|GWHGBFXR035797.1	Triticum_turgidum|TRITD_2Bv1G042260, Triticum_turgidum|TRITD_4Av1G236560
OG0000001	Aegilops_speltoides|GWHGBFXR015420.1	Triticum_turgidum|TRITD_6Bv1G166680, Triticum_turgidum|TRITD_6Bv1G166640, Triticum_turgidum|TRITD_6Bv1G166670
OG0000001	Aegilops_speltoides|GWHGBFXR030338.1	Triticum_turgidum|TRITD_7Av1G060760
OG0000001	Aegilops_speltoides|GWHGBFXR022034.1	Triticum_turgidum|TRITD_7Bv1G230740, Triticum_turgidum|TRITD_7Av1G260340
OG0000001	Aegilops_speltoides|GWHGBFXR000274.1, Aegilops_speltoides|GWHGBFXR033078.1	Triticum_turgidum|TRITD_6Bv1G103160
OG0000001	Aegilops_speltoides|GWHGBFXR027309.1	Triticum_turgidum|TRITD_7Bv1G090700, Triticum_turgidum|TRITD_1Bv1G023410, Triticum_turgidum|TRITD_5Av1G115260, Triticum_turgidum|TRITD_7Bv1G212560
OG0000002	Aegilops_speltoides|GWHGBFXR029861.1	Triticum_turgidum|TRITD_7Av1G241690, Triticum_turgidum|TRITD_4Av1G030310, Triticum_turgidum|TRITD_3Av1G176310, Triticum_turgidum|TRITD_4Av1G138550, Triticum_turgidum|TRITD_4Av1G166960
OG0000002	Aegilops_speltoides|GWHGBFXR015645.1, Aegilops_speltoides|GWHGBFXR007845.1, Aegilops_speltoides|GWHGBFXR002194.1	Triticum_turgidum|TRITD_7Bv1G018000
OG0000002	Aegilops_speltoides|GWHGBFXR004301.1, Aegilops_speltoides|GWHGBFXR032815.1, Aegilops_speltoides|GWHGBFXR027529.1, Aegilops_speltoides|GWHGBFXR035032.1	Triticum_turgidum|TRITD_5Bv1G177510
OG0000002	Aegilops_speltoides|GWHGBFXR017070.1	Triticum_turgidum|TRITD_4Bv1G017370
OG0000002	Aegilops_speltoides|GWHGBFXR027593.1, Aegilops_speltoides|GWHGBFXR035318.1, Aegilops_speltoides|GWHGBFXR006314.1	Triticum_turgidum|TRITD_7Bv1G202220
OG0000002	Aegilops_speltoides|GWHGBFXR002602.1, Aegilops_speltoides|GWHGBFXR036997.1, Aegilops_speltoides|GWHGBFXR000616.1	Triticum_turgidum|TRITD_1Bv1G106840
OG0000002	Aegilops_speltoides|GWHGBFXR027792.1	Triticum_turgidum|TRITD_1Bv1G175650
OG0000002	Aegilops_speltoides|GWHGBFXR030449.1, Aegilops_speltoides|GWHGBFXR034491.1, Aegilops_speltoides|GWHGBFXR005307.1, Aegilops_speltoides|GWHGBFXR017183.1	Triticum_turgidum|TRITD_5Bv1G139040
OG0000002	Aegilops_speltoides|GWHGBFXR005706.1, Aegilops_speltoides|GWHGBFXR029382.1, Aegilops_speltoides|GWHGBFXR036175.1	Triticum_turgidum|TRITD_3Bv1G013550, Triticum_turgidum|TRITD_6Bv1G058460, Triticum_turgidum|TRITD_3Bv1G265620, Triticum_turgidum|TRITD_4Av1G218030
OG0000002	Aegilops_speltoides|GWHGBFXR025942.1, Aegilops_speltoides|GWHGBFXR035524.1	Triticum_turgidum|TRITD_6Bv1G007760
OG0000002	Aegilops_speltoides|GWHGBFXR027515.1, Aegilops_speltoides|GWHGBFXR004386.1, Aegilops_speltoides|GWHGBFXR004966.1	Triticum_turgidum|TRITD_5Bv1G119540, Triticum_turgidum|TRITD_7Bv1G207920
OG0000003	Aegilops_speltoides|GWHGBFXR009905.1, Aegilops_speltoides|GWHGBFXR033083.1, Aegilops_speltoides|GWHGBFXR033278.1, Aegilops_speltoides|GWHGBFXR033270.1, Aegilops_speltoides|GWHGBFXR033084.1, Aegilops_speltoides|GWHGBFXR033074.1, Aegilops_speltoides|GWHGBFXR018182.1, Aegilops_speltoides|GWHGBFXR023429.1	Triticum_turgidum|TRITD_6Bv1G008140
OG0000003	Aegilops_speltoides|GWHGBFXR036040.1, Aegilops_speltoides|GWHGBFXR016250.1, Aegilops_speltoides|GWHGBFXR004636.1	Triticum_turgidum|TRITD_6Bv1G044580
OG0000003	Aegilops_speltoides|GWHGBFXR015219.1, Aegilops_speltoides|GWHGBFXR015617.1, Aegilops_speltoides|GWHGBFXR028958.1	Triticum_turgidum|TRITD_5Av1G111950
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_1Av1G205310
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_1Bv1G128650
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_1Bv1G167400
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_1Bv1G196800
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_1Bv1G196830
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_1Bv1G197020
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_3Av1G213240
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_3Bv1G063340
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_3Bv1G195740
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_4Av1G033330
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_5Av1G173160
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_5Av1G190180
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_5Bv1G182360
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_6Av1G013040
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_6Av1G014150
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_6Av1G014670
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_6Av1G014700
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_6Av1G019330
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_6Bv1G019540
OG0000004	Aegilops_speltoides|GWHGBFXR002823.1	Triticum_turgidum|TRITD_6Bv1G019690
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_1Av1G205310
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_1Bv1G128650
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_1Bv1G167400
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_1Bv1G196800
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_1Bv1G196830
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_1Bv1G197020
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_3Av1G213240
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_3Bv1G063340
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_3Bv1G195740
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_4Av1G033330
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_5Av1G173160
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_5Av1G190180
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_5Bv1G182360
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_6Av1G013040
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_6Av1G014150
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_6Av1G014670
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_6Av1G014700
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_6Av1G019330
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_6Bv1G019540
OG0000004	Aegilops_speltoides|GWHGBFXR002851.1	Triticum_turgidum|TRITD_6Bv1G019690
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_1Av1G205310
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_1Bv1G128650
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_1Bv1G167400
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_1Bv1G196800
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_1Bv1G196830
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_1Bv1G197020
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_3Av1G213240
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_3Bv1G063340
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_3Bv1G195740
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_4Av1G033330
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_5Av1G173160
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_5Av1G190180
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_5Bv1G182360
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_6Av1G013040
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_6Av1G014150
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_6Av1G014670
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_6Av1G014700
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_6Av1G019330
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_6Bv1G019540
OG0000004	Aegilops_speltoides|GWHGBFXR008599.1	Triticum_turgidum|TRITD_6Bv1G019690
OG0000004	Aegilops_speltoides|GWHGBFXR009164.1	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Aegilops_speltoides|GWHGBFXR009164.1	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Aegilops_speltoides|GWHGBFXR009164.1	Triticum_turgidum|TRITD_1Av1G204420
