Orthogroup	Triticum_aestivum	Hordeum_vulgare
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Hordeum_vulgare|LOC123440459
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Hordeum_vulgare|LOC123440480
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Hordeum_vulgare|LOC123426702
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Hordeum_vulgare|LOC123427282
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Hordeum_vulgare|LOC123444127
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Hordeum_vulgare|LOC123449322
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Hordeum_vulgare|LOC123449497
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1D03G0659100	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1D03G0852600	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1D03G0853100	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1D03G0856000	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1D03G0856400	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS2A03G0915900	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS2B03G0821800	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS2D03G0687300	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS3A03G0316900	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Hordeum_vulgare|LOC123407840
