Orthogroup	Triticum_aestivum	Triticum_urartu
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1A03G0596000	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1A03G0669000	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1A03G0693100	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1A03G0878800	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1A03G0879600	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1A03G0882500	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1B03G0694400	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1B03G0694700	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1B03G1024400	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1B03G1026700	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1B03G1030300	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1B03G1030800	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1B03G1031100	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1D03G0571100	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125514131
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125523414
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125520851
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125520767
OG0000000	Triticum_aestivum|TraesCS1D03G0571300	Triticum_urartu|LOC125520808
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125519860
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125524799
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125526880
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125538216
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125539100
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125544536
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125545370
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125552425
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125552709
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125552708
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125515888
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125513706
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125515824
OG0000000	Triticum_aestivum|TraesCS1D03G0632100	Triticum_urartu|LOC125514131
