Orthogroup	Triticum_turgidum	Triticum_urartu
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125539100
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125544536
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125545370
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125552425
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125552709
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125552708
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125515888
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125513706
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125515824
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125514131
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125523414
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125520851
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125520767
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Triticum_urartu|LOC125520808
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125519860
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125524799
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125526880
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125538216
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125539100
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125544536
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125545370
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125552425
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125552709
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125552708
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125515888
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125513706
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125515824
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125514131
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125523414
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125520851
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125520767
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Triticum_urartu|LOC125520808
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125519860
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125524799
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125526880
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125538216
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125539100
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125544536
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125545370
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125552425
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125552709
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125552708
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125515888
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125513706
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125515824
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125514131
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125523414
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125520851
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125520767
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Triticum_urartu|LOC125520808
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125519860
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125524799
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125526880
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125538216
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125539100
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125544536
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125545370
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125552425
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125552709
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125552708
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125515888
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125513706
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125515824
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125514131
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125523414
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125520851
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125520767
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Triticum_urartu|LOC125520808
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125519860
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125524799
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125526880
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125538216
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125539100
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125544536
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125545370
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125552425
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125552709
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125552708
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125515888
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125513706
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125515824
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125514131
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125523414
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125520851
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125520767
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Triticum_urartu|LOC125520808
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125519860
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125524799
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125526880
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125538216
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125539100
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125544536
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125545370
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125552425
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125552709
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125552708
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125515888
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125513706
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125515824
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125514131
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125523414
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125520851
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125520767
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Triticum_urartu|LOC125520808
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125519860
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125524799
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125526880
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125538216
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125539100
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125544536
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125545370
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125552425
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125552709
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125552708
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125515888
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125513706
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125515824
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125514131
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125523414
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125520851
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125520767
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Triticum_urartu|LOC125520808
OG0000000	Triticum_turgidum|TRITD_7Bv1G005600	Triticum_urartu|LOC125520496
OG0000000	Triticum_turgidum|TRITD_7Bv1G005670	Triticum_urartu|LOC125520496
OG0000000	Triticum_turgidum|TRITD_7Av1G017300	Triticum_urartu|LOC125528057
OG0000000	Triticum_turgidum|TRITD_6Bv1G010970	Triticum_urartu|LOC125529203
OG0000000	Triticum_turgidum|TRITD_6Bv1G010990	Triticum_urartu|LOC125529203
OG0000000	Triticum_turgidum|TRITD_6Bv1G011010, Triticum_turgidum|TRITD_6Av1G007390	Triticum_urartu|LOC125529205
OG0000000	Triticum_turgidum|TRITD_2Bv1G159880	Triticum_urartu|LOC125525051
OG0000000	Triticum_turgidum|TRITD_2Bv1G159880	Triticum_urartu|LOC125523488
OG0000000	Triticum_turgidum|TRITD_2Bv1G159880	Triticum_urartu|LOC125521004
OG0000000	Triticum_turgidum|TRITD_2Bv1G159880	Triticum_urartu|LOC125528042
OG0000000	Triticum_turgidum|TRITD_7Av1G237440	Triticum_urartu|LOC125525051
OG0000000	Triticum_turgidum|TRITD_7Av1G237440	Triticum_urartu|LOC125523488
OG0000000	Triticum_turgidum|TRITD_7Av1G237440	Triticum_urartu|LOC125521004
OG0000000	Triticum_turgidum|TRITD_7Av1G237440	Triticum_urartu|LOC125528042
OG0000000	Triticum_turgidum|TRITD_7Bv1G024620	Triticum_urartu|LOC125525051
OG0000000	Triticum_turgidum|TRITD_7Bv1G024620	Triticum_urartu|LOC125523488
OG0000000	Triticum_turgidum|TRITD_7Bv1G024620	Triticum_urartu|LOC125521004
OG0000000	Triticum_turgidum|TRITD_7Bv1G024620	Triticum_urartu|LOC125528042
OG0000000	Triticum_turgidum|TRITD_7Bv1G186020	Triticum_urartu|LOC125525051
OG0000000	Triticum_turgidum|TRITD_7Bv1G186020	Triticum_urartu|LOC125523488
OG0000000	Triticum_turgidum|TRITD_7Bv1G186020	Triticum_urartu|LOC125521004
OG0000000	Triticum_turgidum|TRITD_7Bv1G186020	Triticum_urartu|LOC125528042
OG0000001	Triticum_turgidum|TRITD_3Bv1G041790	Triticum_urartu|LOC125515679
OG0000001	Triticum_turgidum|TRITD_7Av1G227000	Triticum_urartu|LOC125519301
OG0000001	Triticum_turgidum|TRITD_6Bv1G198670	Triticum_urartu|LOC125525470, Triticum_urartu|LOC125534371, Triticum_urartu|LOC125554586, Triticum_urartu|LOC125519299, Triticum_urartu|LOC125554205
OG0000001	Triticum_turgidum|TRITD_5Av1G197800	Triticum_urartu|LOC125510486
OG0000001	Triticum_turgidum|TRITD_7Av1G046280	Triticum_urartu|LOC125523814, Triticum_urartu|LOC125523578
OG0000001	Triticum_turgidum|TRITD_7Bv1G098700, Triticum_turgidum|TRITD_2Bv1G200490	Triticum_urartu|LOC125521676
OG0000001	Triticum_turgidum|TRITD_7Bv1G090690, Triticum_turgidum|TRITD_2Bv1G244030	Triticum_urartu|LOC125534233
OG0000001	Triticum_turgidum|TRITD_2Bv1G053190	Triticum_urartu|LOC125524373
OG0000001	Triticum_turgidum|TRITD_7Av1G036300	Triticum_urartu|LOC125535640
OG0000001	Triticum_turgidum|TRITD_7Av1G242520	Triticum_urartu|LOC125551985
OG0000001	Triticum_turgidum|TRITD_2Av1G060730, Triticum_turgidum|TRITD_2Bv1G036850	Triticum_urartu|LOC125532308
OG0000001	Triticum_turgidum|TRITD_1Av1G061550, Triticum_turgidum|TRITD_2Av1G262000	Triticum_urartu|LOC125539774
OG0000001	Triticum_turgidum|TRITD_7Av1G181320	Triticum_urartu|LOC125524744, Triticum_urartu|LOC125510421
OG0000001	Triticum_turgidum|TRITD_7Av1G060760	Triticum_urartu|LOC125554538
OG0000001	Triticum_turgidum|TRITD_6Bv1G103160	Triticum_urartu|LOC125516457, Triticum_urartu|LOC125541383, Triticum_urartu|LOC125541387, Triticum_urartu|LOC125541384
OG0000002	Triticum_turgidum|TRITD_7Av1G241690	Triticum_urartu|LOC125533141, Triticum_urartu|LOC125518500, Triticum_urartu|LOC125534604, Triticum_urartu|LOC125522634, Triticum_urartu|LOC125516994, Triticum_urartu|LOC125516899, Triticum_urartu|LOC125538510, Triticum_urartu|LOC125519066, Triticum_urartu|LOC125546516, Triticum_urartu|LOC125519280, Triticum_urartu|LOC125547267, Triticum_urartu|LOC125535756, Triticum_urartu|LOC125535754, Triticum_urartu|LOC125529421, Triticum_urartu|LOC125516627, Triticum_urartu|LOC125516624, Triticum_urartu|LOC125533142
OG0000002	Triticum_turgidum|TRITD_7Bv1G202220	Triticum_urartu|LOC125531589, Triticum_urartu|LOC125519566
OG0000002	Triticum_turgidum|TRITD_1Bv1G106840, Triticum_turgidum|TRITD_1Bv1G175650	Triticum_urartu|LOC125546567, Triticum_urartu|LOC125554774, Triticum_urartu|LOC125547220, Triticum_urartu|LOC125547909, Triticum_urartu|LOC125516726, Triticum_urartu|LOC125546544, Triticum_urartu|LOC125519442, Triticum_urartu|LOC125517046
OG0000003	Triticum_turgidum|TRITD_6Bv1G008140	Triticum_urartu|LOC125543766
OG0000003	Triticum_turgidum|TRITD_5Av1G111950	Triticum_urartu|LOC125520607, Triticum_urartu|LOC125520782, Triticum_urartu|LOC125507817
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125506660
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125512401
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125521176
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125521182
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125521199
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125521345
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125521338
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125537869
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125539161
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125539253
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125534123
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125548774
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125552334
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125556106
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125510060
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125510330
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125510331
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125510335
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125510363
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125506402
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125516045
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125515869
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Triticum_urartu|LOC125516061
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125506660
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125512401
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125521176
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125521182
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125521199
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125521345
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125521338
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125537869
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125539161
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125539253
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125534123
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125548774
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125552334
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125556106
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125510060
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125510330
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125510331
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125510335
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125510363
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125506402
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125516045
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125515869
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Triticum_urartu|LOC125516061
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125506660
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125512401
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125521176
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125521182
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125521199
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125521345
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125521338
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125537869
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125539161
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125539253
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125534123
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125548774
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125552334
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125556106
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125510060
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125510330
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125510331
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125510335
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125510363
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125506402
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125516045
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125515869
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Triticum_urartu|LOC125516061
