Orthogroup	Triticum_turgidum	Hordeum_vulgare
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123401492
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123402877
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123407880
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123407879
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123407840
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123410467
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123410874
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123407026
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123407571
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123411529
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123411359
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123407579
OG0000000	Triticum_turgidum|TRITD_1Av1G165950	Hordeum_vulgare|LOC123413522
OG0000000	Triticum_turgidum|TRITD_1Av1G204400	Hordeum_vulgare|LOC123413522
OG0000000	Triticum_turgidum|TRITD_1Av1G204480	Hordeum_vulgare|LOC123413522
OG0000000	Triticum_turgidum|TRITD_3Av1G053190	Hordeum_vulgare|LOC123413522
OG0000000	Triticum_turgidum|TRITD_4Av1G010110	Hordeum_vulgare|LOC123413522
OG0000000	Triticum_turgidum|TRITD_7Av1G030220	Hordeum_vulgare|LOC123413522
OG0000000	Triticum_turgidum|TRITD_7Av1G035180	Hordeum_vulgare|LOC123413522
OG0000000	Triticum_turgidum|TRITD_7Av1G035260	Hordeum_vulgare|LOC123413522
OG0000000	Triticum_turgidum|TRITD_7Bv1G015820	Hordeum_vulgare|LOC123413522
OG0000000	Triticum_turgidum|TRITD_7Bv1G005600	Hordeum_vulgare|LOC123407027
OG0000000	Triticum_turgidum|TRITD_7Bv1G005670	Hordeum_vulgare|LOC123407027
OG0000000	Triticum_turgidum|TRITD_7Bv1G005600	Hordeum_vulgare|LOC123407601
OG0000000	Triticum_turgidum|TRITD_7Bv1G005670	Hordeum_vulgare|LOC123407601
OG0000000	Triticum_turgidum|TRITD_6Bv1G010970	Hordeum_vulgare|LOC123406049
OG0000000	Triticum_turgidum|TRITD_6Bv1G010990	Hordeum_vulgare|LOC123406049
OG0000000	Triticum_turgidum|TRITD_2Bv1G159880	Hordeum_vulgare|LOC123426873
OG0000000	Triticum_turgidum|TRITD_7Av1G237440	Hordeum_vulgare|LOC123426873
OG0000000	Triticum_turgidum|TRITD_7Bv1G024620	Hordeum_vulgare|LOC123426873
OG0000000	Triticum_turgidum|TRITD_7Bv1G186020	Hordeum_vulgare|LOC123426873
OG0000000	Triticum_turgidum|TRITD_2Bv1G159880	Hordeum_vulgare|LOC123426872
OG0000000	Triticum_turgidum|TRITD_7Av1G237440	Hordeum_vulgare|LOC123426872
OG0000000	Triticum_turgidum|TRITD_7Bv1G024620	Hordeum_vulgare|LOC123426872
OG0000000	Triticum_turgidum|TRITD_7Bv1G186020	Hordeum_vulgare|LOC123426872
OG0000000	Triticum_turgidum|TRITD_2Bv1G159880	Hordeum_vulgare|LOC123413076
OG0000000	Triticum_turgidum|TRITD_7Av1G237440	Hordeum_vulgare|LOC123413076
OG0000000	Triticum_turgidum|TRITD_7Bv1G024620	Hordeum_vulgare|LOC123413076
OG0000000	Triticum_turgidum|TRITD_7Bv1G186020	Hordeum_vulgare|LOC123413076
OG0000000	Triticum_turgidum|TRITD_2Bv1G159880	Hordeum_vulgare|LOC123413075
OG0000000	Triticum_turgidum|TRITD_7Av1G237440	Hordeum_vulgare|LOC123413075
OG0000000	Triticum_turgidum|TRITD_7Bv1G024620	Hordeum_vulgare|LOC123413075
OG0000000	Triticum_turgidum|TRITD_7Bv1G186020	Hordeum_vulgare|LOC123413075
OG0000000	Triticum_turgidum|TRITD_2Bv1G159880	Hordeum_vulgare|LOC123409950
OG0000000	Triticum_turgidum|TRITD_7Av1G237440	Hordeum_vulgare|LOC123409950
OG0000000	Triticum_turgidum|TRITD_7Bv1G024620	Hordeum_vulgare|LOC123409950
OG0000000	Triticum_turgidum|TRITD_7Bv1G186020	Hordeum_vulgare|LOC123409950
OG0000000	Triticum_turgidum|TRITD_2Bv1G159880	Hordeum_vulgare|LOC123410250
OG0000000	Triticum_turgidum|TRITD_7Av1G237440	Hordeum_vulgare|LOC123410250
OG0000000	Triticum_turgidum|TRITD_7Bv1G024620	Hordeum_vulgare|LOC123410250
OG0000000	Triticum_turgidum|TRITD_7Bv1G186020	Hordeum_vulgare|LOC123410250
OG0000001	Triticum_turgidum|TRITD_7Av1G227000, Triticum_turgidum|TRITD_6Bv1G198670	Hordeum_vulgare|LOC123428609
OG0000001	Triticum_turgidum|TRITD_2Bv1G053190	Hordeum_vulgare|LOC123408261
OG0000001	Triticum_turgidum|TRITD_7Av1G036300, Triticum_turgidum|TRITD_7Av1G242520, Triticum_turgidum|TRITD_2Av1G060730, Triticum_turgidum|TRITD_2Bv1G036850, Triticum_turgidum|TRITD_2Bv1G042260, Triticum_turgidum|TRITD_4Av1G236560, Triticum_turgidum|TRITD_6Bv1G166680, Triticum_turgidum|TRITD_6Bv1G166640, Triticum_turgidum|TRITD_6Bv1G166670, Triticum_turgidum|TRITD_3Bv1G146980, Triticum_turgidum|TRITD_1Av1G061550, Triticum_turgidum|TRITD_2Av1G262000, Triticum_turgidum|TRITD_6Bv1G218160, Triticum_turgidum|TRITD_6Bv1G128680	Hordeum_vulgare|LOC123395773
OG0000001	Triticum_turgidum|TRITD_3Av1G273850, Triticum_turgidum|TRITD_7Av1G060760, Triticum_turgidum|TRITD_7Bv1G230740, Triticum_turgidum|TRITD_7Av1G260340, Triticum_turgidum|TRITD_6Bv1G103160	Hordeum_vulgare|LOC123425701, Hordeum_vulgare|LOC123412209, Hordeum_vulgare|LOC123446953, Hordeum_vulgare|LOC123425179, Hordeum_vulgare|LOC123450710, Hordeum_vulgare|LOC123446831, Hordeum_vulgare|LOC123439494, Hordeum_vulgare|LOC123396045, Hordeum_vulgare|LOC123447091
OG0000001	Triticum_turgidum|TRITD_7Bv1G090700	Hordeum_vulgare|LOC123411765
OG0000001	Triticum_turgidum|TRITD_1Bv1G023410	Hordeum_vulgare|LOC123398413, Hordeum_vulgare|LOC123442592
OG0000002	Triticum_turgidum|TRITD_5Av1G151040, Triticum_turgidum|TRITD_1Bv1G106840, Triticum_turgidum|TRITD_1Bv1G175650, Triticum_turgidum|TRITD_5Bv1G139040, Triticum_turgidum|TRITD_3Bv1G013550, Triticum_turgidum|TRITD_6Bv1G058460, Triticum_turgidum|TRITD_3Bv1G265620, Triticum_turgidum|TRITD_4Av1G218030, Triticum_turgidum|TRITD_4Av1G182150	Hordeum_vulgare|LOC123408730, Hordeum_vulgare|LOC123439263, Hordeum_vulgare|LOC123430650, Hordeum_vulgare|LOC123446610, Hordeum_vulgare|LOC123397037, Hordeum_vulgare|LOC123404695, Hordeum_vulgare|LOC123397969, Hordeum_vulgare|LOC123430082, Hordeum_vulgare|LOC123439815, Hordeum_vulgare|LOC123439652
OG0000003	Triticum_turgidum|TRITD_6Bv1G008140	Hordeum_vulgare|LOC123411936
OG0000003	Triticum_turgidum|TRITD_6Bv1G044580	Hordeum_vulgare|LOC123426713
OG0000003	Triticum_turgidum|TRITD_5Av1G111950	Hordeum_vulgare|LOC123394940
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_1Av1G205310	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_1Bv1G128650	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_1Bv1G167400	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_1Bv1G196800	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_1Bv1G196830	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_1Bv1G197020	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_3Av1G213240	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_3Bv1G063340	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_3Bv1G195740	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_4Av1G033330	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_5Av1G173160	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_5Av1G190180	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_5Bv1G182360	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_6Av1G013040	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_6Av1G014150	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_6Av1G014670	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_6Av1G014700	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_6Av1G019330	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_6Bv1G019540	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_6Bv1G019690	Hordeum_vulgare|LOC123424203
OG0000004	Triticum_turgidum|TRITD_1Av1G131750	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_1Av1G180350	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_1Av1G204420	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_1Av1G205310	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_1Bv1G128650	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_1Bv1G167400	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_1Bv1G196800	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_1Bv1G196830	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_1Bv1G197020	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_3Av1G213240	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_3Bv1G063340	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_3Bv1G195740	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_4Av1G033330	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_5Av1G173160	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_5Av1G190180	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_5Bv1G182360	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_6Av1G013040	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_6Av1G014150	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_6Av1G014670	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_6Av1G014700	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_6Av1G019330	Hordeum_vulgare|LOC123437379
OG0000004	Triticum_turgidum|TRITD_6Bv1G019540	Hordeum_vulgare|LOC123437379
