Orthogroup	Aegilops_tauschii	Triticum_turgidum
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109754407	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109754407	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109754407	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109754407	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109754407	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109754407	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109754407	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109754407	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109754407	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109754411	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109754411	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109754411	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109754411	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109754411	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109754411	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109754411	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109754411	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109754411	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109769678	Triticum_turgidum|TRITD_1Av1G165950
OG0000000	Aegilops_tauschii|LOC109769678	Triticum_turgidum|TRITD_1Av1G204400
OG0000000	Aegilops_tauschii|LOC109769678	Triticum_turgidum|TRITD_1Av1G204480
OG0000000	Aegilops_tauschii|LOC109769678	Triticum_turgidum|TRITD_3Av1G053190
OG0000000	Aegilops_tauschii|LOC109769678	Triticum_turgidum|TRITD_4Av1G010110
OG0000000	Aegilops_tauschii|LOC109769678	Triticum_turgidum|TRITD_7Av1G030220
OG0000000	Aegilops_tauschii|LOC109769678	Triticum_turgidum|TRITD_7Av1G035180
OG0000000	Aegilops_tauschii|LOC109769678	Triticum_turgidum|TRITD_7Av1G035260
OG0000000	Aegilops_tauschii|LOC109769678	Triticum_turgidum|TRITD_7Bv1G015820
OG0000000	Aegilops_tauschii|LOC109780960	Triticum_turgidum|TRITD_7Bv1G005600
OG0000000	Aegilops_tauschii|LOC109780960	Triticum_turgidum|TRITD_7Bv1G005670
OG0000000	Aegilops_tauschii|LOC109754410	Triticum_turgidum|TRITD_2Bv1G061660
OG0000000	Aegilops_tauschii|LOC109762568	Triticum_turgidum|TRITD_6Bv1G010970
OG0000000	Aegilops_tauschii|LOC109762568	Triticum_turgidum|TRITD_6Bv1G010990
OG0000000	Aegilops_tauschii|LOC109760140	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Aegilops_tauschii|LOC109760140	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Aegilops_tauschii|LOC109760140	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Aegilops_tauschii|LOC109760140	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Aegilops_tauschii|LOC109744300	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Aegilops_tauschii|LOC109744300	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Aegilops_tauschii|LOC109744300	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Aegilops_tauschii|LOC109744300	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Aegilops_tauschii|LOC109743405	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Aegilops_tauschii|LOC109743405	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Aegilops_tauschii|LOC109743405	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Aegilops_tauschii|LOC109743405	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Aegilops_tauschii|LOC109772511	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Aegilops_tauschii|LOC109772511	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Aegilops_tauschii|LOC109772511	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Aegilops_tauschii|LOC109772511	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Aegilops_tauschii|LOC109755249	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Aegilops_tauschii|LOC109755249	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Aegilops_tauschii|LOC109755249	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Aegilops_tauschii|LOC109755249	Triticum_turgidum|TRITD_7Bv1G186020
OG0000000	Aegilops_tauschii|LOC109773502	Triticum_turgidum|TRITD_2Bv1G159880
OG0000000	Aegilops_tauschii|LOC109773502	Triticum_turgidum|TRITD_7Av1G237440
OG0000000	Aegilops_tauschii|LOC109773502	Triticum_turgidum|TRITD_7Bv1G024620
OG0000000	Aegilops_tauschii|LOC109773502	Triticum_turgidum|TRITD_7Bv1G186020
OG0000001	Aegilops_tauschii|LOC109741111, Aegilops_tauschii|LOC109747054, Aegilops_tauschii|LOC109755394	Triticum_turgidum|TRITD_7Av1G046280
OG0000001	Aegilops_tauschii|LOC109735424	Triticum_turgidum|TRITD_7Av1G073100, Triticum_turgidum|TRITD_6Av1G207270, Triticum_turgidum|TRITD_7Bv1G071480, Triticum_turgidum|TRITD_6Bv1G135690, Triticum_turgidum|TRITD_7Bv1G165630, Triticum_turgidum|TRITD_1Av1G214600
OG0000001	Aegilops_tauschii|LOC109737253	Triticum_turgidum|TRITD_7Bv1G098700, Triticum_turgidum|TRITD_2Bv1G200490
OG0000001	Aegilops_tauschii|LOC120975026	Triticum_turgidum|TRITD_7Bv1G090690, Triticum_turgidum|TRITD_2Bv1G244030
OG0000001	Aegilops_tauschii|LOC109782904, Aegilops_tauschii|LOC120964977, Aegilops_tauschii|LOC109741843, Aegilops_tauschii|LOC109748953, Aegilops_tauschii|LOC109731426, Aegilops_tauschii|LOC109785823, Aegilops_tauschii|LOC109753296, Aegilops_tauschii|LOC120976046, Aegilops_tauschii|LOC109781618	Triticum_turgidum|TRITD_2Bv1G053190
OG0000001	Aegilops_tauschii|LOC109768121, Aegilops_tauschii|LOC109782051, Aegilops_tauschii|LOC120976086, Aegilops_tauschii|LOC120969077, Aegilops_tauschii|LOC120975983	Triticum_turgidum|TRITD_7Av1G036300
OG0000001	Aegilops_tauschii|LOC109732976, Aegilops_tauschii|LOC109755288	Triticum_turgidum|TRITD_2Av1G060730, Triticum_turgidum|TRITD_2Bv1G036850
OG0000001	Aegilops_tauschii|LOC109765286	Triticum_turgidum|TRITD_2Bv1G042260, Triticum_turgidum|TRITD_4Av1G236560, Triticum_turgidum|TRITD_6Bv1G166680, Triticum_turgidum|TRITD_6Bv1G166640, Triticum_turgidum|TRITD_6Bv1G166670
OG0000001	Aegilops_tauschii|LOC109763836	Triticum_turgidum|TRITD_3Bv1G146980
OG0000001	Aegilops_tauschii|LOC109764570, Aegilops_tauschii|LOC109740171, Aegilops_tauschii|LOC109775134, Aegilops_tauschii|LOC109784274	Triticum_turgidum|TRITD_1Av1G061550, Triticum_turgidum|TRITD_2Av1G262000
OG0000001	Aegilops_tauschii|LOC109759400, Aegilops_tauschii|LOC109732473	Triticum_turgidum|TRITD_6Bv1G218160
OG0000001	Aegilops_tauschii|LOC109778160	Triticum_turgidum|TRITD_6Bv1G128680
OG0000001	Aegilops_tauschii|LOC109778595	Triticum_turgidum|TRITD_7Av1G181320
OG0000001	Aegilops_tauschii|LOC120976134, Aegilops_tauschii|LOC109781100	Triticum_turgidum|TRITD_3Av1G273850
OG0000001	Aegilops_tauschii|LOC120961920	Triticum_turgidum|TRITD_7Av1G060760
OG0000001	Aegilops_tauschii|LOC109741899	Triticum_turgidum|TRITD_7Bv1G090700
OG0000001	Aegilops_tauschii|LOC120962966, Aegilops_tauschii|LOC109764269	Triticum_turgidum|TRITD_5Av1G115260, Triticum_turgidum|TRITD_7Bv1G212560
OG0000002	Aegilops_tauschii|LOC120963574	Triticum_turgidum|TRITD_7Av1G241690
OG0000002	Aegilops_tauschii|LOC109759245	Triticum_turgidum|TRITD_4Av1G030310, Triticum_turgidum|TRITD_3Av1G176310, Triticum_turgidum|TRITD_4Av1G138550, Triticum_turgidum|TRITD_4Av1G166960
OG0000002	Aegilops_tauschii|LOC120972827	Triticum_turgidum|TRITD_7Bv1G214220, Triticum_turgidum|TRITD_7Bv1G018000, Triticum_turgidum|TRITD_5Bv1G177510, Triticum_turgidum|TRITD_4Bv1G017370
OG0000002	Aegilops_tauschii|LOC109770419, Aegilops_tauschii|LOC109763731, Aegilops_tauschii|LOC120975949	Triticum_turgidum|TRITD_7Bv1G202220
OG0000002	Aegilops_tauschii|LOC120974005	Triticum_turgidum|TRITD_5Bv1G139040
OG0000002	Aegilops_tauschii|LOC109739129	Triticum_turgidum|TRITD_3Bv1G013550, Triticum_turgidum|TRITD_6Bv1G058460, Triticum_turgidum|TRITD_3Bv1G265620, Triticum_turgidum|TRITD_4Av1G218030
OG0000002	Aegilops_tauschii|LOC120976251	Triticum_turgidum|TRITD_7Bv1G207920
OG0000003	Aegilops_tauschii|LOC109743385	Triticum_turgidum|TRITD_6Bv1G008140
OG0000003	Aegilops_tauschii|LOC120972650, Aegilops_tauschii|LOC109780145	Triticum_turgidum|TRITD_6Bv1G044580
OG0000003	Aegilops_tauschii|LOC109760113, Aegilops_tauschii|LOC109751715, Aegilops_tauschii|LOC109770007, Aegilops_tauschii|LOC109787123, Aegilops_tauschii|LOC120972855, Aegilops_tauschii|LOC120968664, Aegilops_tauschii|LOC120969118, Aegilops_tauschii|LOC109757343, Aegilops_tauschii|LOC109757034, Aegilops_tauschii|LOC120970298, Aegilops_tauschii|LOC109757033, Aegilops_tauschii|LOC120969192, Aegilops_tauschii|LOC120972856, Aegilops_tauschii|LOC120970703, Aegilops_tauschii|LOC109769977, Aegilops_tauschii|LOC120970746, Aegilops_tauschii|LOC109733059, Aegilops_tauschii|LOC109743262	Triticum_turgidum|TRITD_5Av1G111950
OG0000004	Aegilops_tauschii|LOC109786920	Triticum_turgidum|TRITD_1Av1G131750
OG0000004	Aegilops_tauschii|LOC109786920	Triticum_turgidum|TRITD_1Av1G180350
OG0000004	Aegilops_tauschii|LOC109786920	Triticum_turgidum|TRITD_1Av1G204420
OG0000004	Aegilops_tauschii|LOC109786920	Triticum_turgidum|TRITD_1Av1G205310
OG0000004	Aegilops_tauschii|LOC109786920	Triticum_turgidum|TRITD_1Bv1G128650
