Orthogroup	Aegilops_tauschii	Triticum_aestivum
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_tauschii|LOC109733850	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS1D03G0856400
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS2A03G0915900
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS2B03G0821800
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS2D03G0687300
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_aestivum|TraesCS3A03G0316900
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1A03G0596000
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1A03G0669000
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1A03G0693100
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1A03G0878800
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1A03G0879600
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1A03G0882500
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1B03G0694400
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1B03G0694700
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1B03G1024400
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1B03G1026700
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1B03G1030300
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1B03G1030800
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1B03G1031100
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1D03G0571100
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1D03G0571300
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1D03G0632100
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1D03G0659100
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1D03G0852600
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1D03G0853100
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1D03G0856000
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_aestivum|TraesCS1D03G0856400
