Orthogroup	Aegilops_tauschii	Hordeum_vulgare
OG0000000	Aegilops_tauschii|LOC109732746	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_tauschii|LOC109765742	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_tauschii|LOC109765743	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_tauschii|LOC109781574	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_tauschii|LOC109750404	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_tauschii|LOC109784957	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_tauschii|LOC109741504	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_tauschii|LOC109760481	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_tauschii|LOC109744817	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_tauschii|LOC109769263	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_tauschii|LOC109767055	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123407879
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123407840
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123410467
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123410874
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123407026
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123407571
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123411529
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123411359
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123407579
OG0000000	Aegilops_tauschii|LOC109761752	Hordeum_vulgare|LOC123413522
OG0000000	Aegilops_tauschii|LOC109761751	Hordeum_vulgare|LOC123440459
OG0000000	Aegilops_tauschii|LOC109761751	Hordeum_vulgare|LOC123440480
OG0000000	Aegilops_tauschii|LOC109761751	Hordeum_vulgare|LOC123426702
OG0000000	Aegilops_tauschii|LOC109761751	Hordeum_vulgare|LOC123427282
OG0000000	Aegilops_tauschii|LOC109761751	Hordeum_vulgare|LOC123444127
OG0000000	Aegilops_tauschii|LOC109761751	Hordeum_vulgare|LOC123449322
OG0000000	Aegilops_tauschii|LOC109761751	Hordeum_vulgare|LOC123449497
OG0000000	Aegilops_tauschii|LOC109761751	Hordeum_vulgare|LOC123401492
OG0000000	Aegilops_tauschii|LOC109761751	Hordeum_vulgare|LOC123402877
OG0000000	Aegilops_tauschii|LOC109761751	Hordeum_vulgare|LOC123407880
OG0000000	Aegilops_tauschii|LOC109761751	Hordeum_vulgare|LOC123407879
