Orthogroup	Aegilops_tauschii	Triticum_urartu
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109787168	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109732745	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109732746	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109765742	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109765743	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109781574	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109750404	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109784957	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109741504	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109760481	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109744817	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109769263	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109767055	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109761752	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109761751	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109761753	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125544536
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125545370
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125552425
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125552709
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125552708
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125515888
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125513706
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125515824
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125514131
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125523414
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125520851
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125520767
OG0000000	Aegilops_tauschii|LOC109752985	Triticum_urartu|LOC125520808
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_urartu|LOC125519860
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_urartu|LOC125524799
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_urartu|LOC125526880
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_urartu|LOC125538216
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_urartu|LOC125539100
OG0000000	Aegilops_tauschii|LOC109754409	Triticum_urartu|LOC125544536
